LocationID,Borough,Zone,Lat,Lon
154,Brooklyn,Marine Park/Floyd Bennett Field,40.5910174,-73.8906091
155,Brooklyn,Marine Park/Mill Basin,40.6188928,-73.9246109
156,Staten Island,Mariners Harbor,40.6367701,-74.1587547
157,Queens,Maspeth,40.7294018,-73.9065883
158,Manhattan,Meatpacking/West Village West,40.7219254,-74.0119383
159,Bronx,Melrose South,40.8209719,-73.9168766
160,Queens,Middle Village,40.717372,-73.87425
161,Manhattan,Midtown Center,40.7561774,-73.9818506
162,Manhattan,Midtown East,40.7540369,-73.9668408
163,Manhattan,Midtown North,40.7549309,-73.9840195
164,Manhattan,Midtown South,40.7549309,-73.9840195
165,Brooklyn,Midwood,40.6190629,-73.9653715
166,Manhattan,Morningside Heights,40.8089564,-73.9624327
167,Bronx,Morrisania/Melrose,40.825761,-73.915231
168,Bronx,Mott Haven/Port Morris,40.8091068,-73.9228881
169,Bronx,Mount Hope,40.8488863,-73.9051185
170,Manhattan,Murray Hill,40.7478792,-73.9756567
171,Queens,Murray Hill-Queens,40.7665245,-73.8036752
172,Staten Island,New Dorp/Midland Beach,40.5733493,-74.115187
173,Queens,North Corona,40.7502698,-73.8624893
174,Bronx,Norwood,40.8771463,-73.8786601
175,Queens,Oakland Gardens,40.7408584,-73.758241
176,Staten Island,Oakwood,40.5584751,-74.115187
177,Brooklyn,Ocean Hill,40.6744284,-73.911893
178,Brooklyn,Ocean Parkway South,40.6130974,-73.9686455
179,Queens,Old Astoria,40.770112,-73.9096452
180,Queens,Ozone Park,40.6794072,-73.8507279
181,Brooklyn,Park Slope,40.6681038,-73.9805817
182,Bronx,Parkchester,40.8382522,-73.8566087
183,Bronx,Pelham Bay,40.8496714,-73.8330844
184,Bronx,Pelham Bay Park,40.8505689,-73.8210182
185,Bronx,Pelham Parkway,40.8553279,-73.8639594
186,Manhattan,Penn Station/Madison Sq West,40.7505045,-73.9934387
187,Staten Island,Port Richmond,40.6354914,-74.1254641
188,Brooklyn,Prospect-Lefferts Gardens,40.6590448,-73.9506774
189,Brooklyn,Prospect Heights,40.6774196,-73.9668408
190,Brooklyn,Prospect Park,40.6602037,-73.9689558
191,Queens,Queens Village,40.7156628,-73.7419017
192,Queens,Queensboro Hill,40.7674987,-73.833079
193,Queens,Queensbridge/Ravenswood,40.7618579,-73.9344384
194,Manhattan,Randalls Island,40.7932271,-73.9212858
195,Brooklyn,Red Hook,40.6772802,-74.0094471
196,Queens,Rego Park,40.7255722,-73.8624893
197,Queens,Richmond Hill,40.6958108,-73.8272029
198,Queens,Ridgewood,40.7043986,-73.9018292
199,Bronx,Rikers Island,40.7931277,-73.88601
200,Bronx,Riverdale/North Riverdale/Fieldston,40.898057,-73.9014018
201,Queens,Rockaway Park,40.5797863,-73.8372237
202,Manhattan,Roosevelt Island,40.7605031,-73.9509934
203,Queens,Rosedale,40.6584068,-73.7389596
204,Staten Island,Rossville/Woodrow,40.5434385,-74.1976441
205,Queens,Saint Albans,40.6894086,-73.7654367
206,Staten Island,Saint George/New Brighton,40.6458363,-74.0861345
207,Queens,Saint Michaels Cemetery/Woodside,40.7663889,-73.8974627
208,Bronx,Schuylerville/Edgewater Park,40.8235967,-73.8102927
209,Manhattan,Seaport,40.7059371,-74.0026757
210,Brooklyn,Sheepshead Bay,40.5975847,-73.9536163
211,Manhattan,SoHo,40.723301,-74.0029883
212,Bronx,Soundview/Bruckner,40.8246543,-73.8709733
213,Bronx,Soundview/Castle Hill,40.8271028,-73.8498925
214,Staten Island,South Beach/Dongan Hills,40.5851599,-74.0888367
215,Queens,South Jamaica,40.6808594,-73.7919103
216,Queens,South Ozone Park,40.6764003,-73.8124984
217,Brooklyn,South Williamsburg,40.7085692,-73.9701967
218,Queens,Springfield Gardens North,40.6626441,-73.7683784
219,Queens,Springfield Gardens South,40.6626441,-73.7683784
220,Bronx,Spuyten Duyvil/Kingsbridge,40.8794197,-73.9074286
221,Staten Island,Stapleton,40.6288778,-74.0784785
222,Brooklyn,Starrett City,40.6477377,-73.8808187
223,Queens,Steinway,40.7679638,-73.9116863
224,Manhattan,Stuy Town/Peter Cooper Village,40.7316903,-73.9778494
225,Brooklyn,Stuyvesant Heights,40.6878604,-73.9330281
226,Queens,Sunnyside,40.7432759,-73.9196324
227,Brooklyn,Sunset Park East,40.645532,-74.0123851
228,Brooklyn,Sunset Park West,40.645532,-74.0123851
229,Manhattan,Sutton Place/Turtle Bay North,40.7580204,-73.9601669
230,Manhattan,Times Sq/Theatre District,40.759011,-73.9844722
231,Manhattan,TriBeCa/Civic Center,40.7140519,-74.0028364
232,Manhattan,Two Bridges/Seward Park,40.7149056,-73.989247
233,Manhattan,UN/Turtle Bay South,40.7540369,-73.9668408
234,Manhattan,Union Sq,40.7358633,-73.9910835
235,Bronx,University Heights/Morris Heights,40.854811,-73.91017
236,Manhattan,Upper East Side North,40.7735649,-73.9565551
237,Manhattan,Upper East Side South,40.7735649,-73.9565551
238,Manhattan,Upper West Side North,40.7870106,-73.9753676
239,Manhattan,Upper West Side South,40.7870106,-73.9753676
240,Bronx,Van Cortlandt Park,40.8979346,-73.8859514
241,Bronx,Van Cortlandt Village,40.8979346,-73.8859514
242,Bronx,Van Nest/Morris Park,40.846327,-73.8588594
243,Manhattan,Washington Heights North,40.8417082,-73.9393554
244,Manhattan,Washington Heights South,40.8417082,-73.9393554
245,Staten Island,West Brighton,40.6270298,-74.1093141
246,Manhattan,West Chelsea/Hudson Yards,40.7522644,-73.9989182
247,Bronx,West Concourse,40.846042,-73.9096985
248,Bronx,West Farms/Bronx River,40.8430609,-73.8816001
249,Manhattan,West Village,40.735781,-74.0035709
250,Bronx,Westchester Village/Unionport,40.831368,-73.8681553
251,Staten Island,Westerleigh,40.621215,-74.1318094
252,Queens,Whitestone,40.7920449,-73.8095574
253,Queens,Willets Point,40.7606911,-73.840436
254,Bronx,Williamsbridge/Olinville,40.8710353,-73.8682692
255,Brooklyn,Williamsburg (North Side),40.7149187,-73.9528671
256,Brooklyn,Williamsburg (South Side),40.71305,-73.957037
257,Brooklyn,Windsor Terrace,40.6539346,-73.9756567
258,Queens,Woodhaven,40.6901366,-73.8566087
259,Bronx,Woodlawn/Wakefield,40.9019255,-73.8570177
260,Queens,Woodside,40.7512123,-73.9036487
261,Manhattan,World Trade Center,40.7127431,-74.0133795
262,Manhattan,Yorkville East,40.770203,-73.9507299
263,Manhattan,Yorkville West,40.7762231,-73.9492079
264,Unknown,Unknown,38.876392,-77.0721696
265,Unknown,Unknown,38.876392,-77.0721696
